Local Health Jurisdiction,GEOID,Number children under 6 w BLL at or above 3.5 µg/dL,Percent Children under  6 w BLL at or above 3.5 µg/dL ,Total Number children under 6 w/ BLL
Kern,6029001003,2,0.006430868,311
Kern,6029001101,9,0.015957447,564
Kern,6029001104,6,0.022058824,272
Kern,6029001105,18,0.046632124,386
Kern,6029001106,8,0.034934498,229
Kern,6029001107,11,0.037931034,290
Kern,6029001201,8,0.03125,256
Kern,6029001202,39,0.061417323,635
Kern,6029001301,36,0.063047285,571
Kern,6029001302,18,0.062068966,290
Kern,6029001401,24,0.048582996,494
Kern,6029001402,10,0.03058104,327
Kern,6029001500,19,0.063973064,297
Kern,6029001600,9,0.053254438,169
Kern,6029001700,4,0.016877637,237
Kern,6029001801,7,0.017811705,393
Kern,6029001803,2,0.011494253,174
Kern,6029001804,4,0.018604651,215
Kern,6029001901,10,0.0390625,256
Kern,6029001902,22,0.053398058,412
Kern,6029002001,13,0.041269841,315
Kern,6029002002,24,0.058536585,410
Kern,6029002100,16,0.040920716,391
Kern,6029002201,9,0.027777778,324
Kern,6029002202,11,0.026960784,408
Kern,6029002302,13,0.034120735,381
Kern,6029002303,6,0.01754386,342
Kern,6029002304,8,0.019277108,415
Kern,6029002305,5,0.019762846,253
Kern,6029002401,6,0.02764977,217
Kern,6029002402,7,0.019886364,352
Kern,6029002403,6,0.017857143,336
Kern,6029002501,16,0.033264033,481
Kern,6029002502,6,0.025316456,237
Kern,6029002503,15,0.058139535,258
Kern,6029002600,13,0.038348083,339
Kern,6029002701,6,0.025,240
Kern,6029002702,10,0.033112583,302
Kern,6029002804,0,0,57
Kern,6029002806,3,0.037037037,81
Kern,6029002807,1,0.005586592,179
Kern,6029002811,1,0.0078125,128
Kern,6029002813,6,0.015189873,395
Kern,6029002814,6,0.016172507,371
Kern,6029002815,6,0.017699115,339
Kern,6029002816,8,0.016161616,495
Kern,6029002817,3,0.00729927,411
Kern,6029002818,2,0.011363636,176
Kern,6029002819,10,0.028409091,352
Kern,6029002820,10,0.027777778,360
Kern,6029002821,3,0.009771987,307
Kern,6029002822,1,0.006944444,144
Kern,6029002823,2,0.007380074,271
Kern,6029002824,3,0.010830325,277
Kern,6029002825,10,0.04587156,218
Kern,6029002901,8,0.027027027,296
Kern,6029002902,6,0.015831135,379
Kern,6029003001,13,0.029953917,434
Kern,6029003002,10,0.031545741,317
Kern,6029003103,6,0.011741683,511
Kern,6029003112,8,0.019851117,403
Kern,6029003113,5,0.011111111,450
Kern,6029003124,6,0.012371134,485
Kern,6029003125,13,0.034482759,377
Kern,6029003126,7,0.011513158,608
Kern,6029003127,13,0.025742574,505
Kern,6029003128,1,0.002024291,494
Kern,6029003129,3,0.010204082,294
Kern,6029003130,2,0.006451613,310
Kern,6029003131,5,0.016891892,296
Kern,6029003132,5,0.012690355,394
Kern,6029003133,1,0.004237288,236
Kern,6029003134,7,0.024647887,284
Kern,6029003135,4,0.015384615,260
Kern,6029003136,4,0.021505376,186
Kern,6029003137,5,0.014749263,339
Kern,6029003203,1,0.00952381,105
Kern,6029003207,4,0.008510638,470
Kern,6029003208,7,0.008323424,841
